date,Buick Regal,Chevrolet Malibu,Chrysler 200,Dodge Avenger,Ford Fusion,Honda Accord,Honda Crosstour,Hyundai Sonata,Kia Optima,Mazda Mazda6,Nissan Altima,Subaru Legacy,Subaru Outback,Toyota Camry,Toyota Venza,Volkswagen CC,Volkswagen Passat
1976,0,0,0,0,0,18643,0,0,0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,75995,0,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,120841,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,157919,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,185972,0,0,0,55281,0,0,0,0,0,0,0
1981,0,0,0,0,0,172557,0,0,0,60475,0,0,0,0,0,0,0
1982,0,0,0,0,0,195524,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,222137,0,0,0,0,0,0,0,52651,0,0,0
1984,0,0,0,0,0,256650,0,0,0,0,0,0,0,93725,0,0,0
1985,112590,0,0,0,0,268420,0,0,0,92389,0,0,0,128143,0,0,0
1986,78340,0,0,0,0,325004,0,0,0,92431,0,0,0,151767,0,0,0
1987,63853,0,0,0,0,334876,0,0,0,74439,0,0,0,186633,0,0,0
1988,122871,0,0,0,0,362663,0,0,0,66354,0,0,0,227140,0,0,0
1989,76003,0,0,0,0,362707,0,34698,0,55043,0,33709,0,257466,0,0,0
1990,90428,0,0,0,0,417179,0,29840,0,64234,0,68230,0,284595,0,0,17945
1991,104802,0,0,0,0,399297,0,20966,0,68369,0,65572,0,263818,0,0,15833
1992,91672,0,0,0,0,393477,0,16987,0,53065,30659,64983,0,286602,0,0,12578
1993,87687,0,0,0,0,330030,0,14004,0,71377,134791,59668,0,299937,0,0,11970
1994,0,0,0,0,0,367615,0,13339,0,0,0,56279,1238,319178,0,0,11021
1995,0,0,0,0,0,341384,0,16000,0,0,0,59386,14805,326632,0,0,14010
1996,86847,2274,52674,0,0,382298,0,14616,0,0,147910,46742,48208,357359,0,0,19850
1997,50691,164654,88419,99040,0,384609,0,22128,0,0,160000,38319,54594,394397,0,0,14868
1998,65979,223703,84926,106434,0,401071,0,14144,0,91147,144451,31928,56732,427308,0,0,39272
1999,74016,218540,77331,94413,0,404192,0,30022,0,86735,153525,26692,60575,445696,0,0,68151
2000,65167,207376,62616,103697,0,404515,0,45983,97,71046,136971,31809,64582,420451,0,0,84521
2001,49992,176583,118459,111125,0,414718,0,62385,25910,50997,148345,24686,70605,390449,0,0,95028
2002,40754,169377,112367,109233,0,398980,0,68085,26793,42731,201822,24385,60974,431647,0,0,96142
2003,23677,122771,100109,99924,0,397750,0,82330,34681,67747,201240,24906,54930,413296,0,0,76977
2004,13775,179806,104094,98769,0,386770,0,107189,53492,72148,235889,26859,62594,426990,0,0,67640
2005,602,203503,90294,99648,16983,369293,0,130365,41349,71447,255371,28218,59570,431703,0,0,49233
2006,30,163853,69357,51393,142502,354441,0,149513,38408,66203,232457,25333,59109,448445,0,0,54208
2007,0,128312,93130,84526,149552,392231,0,145568,40901,57575,284762,22159,56078,473108,0,0,37183
2008,0,178253,71663,61963,147569,372789,0,117357,44904,52590,269668,22614,44262,436617,1474,2105,30034
2009,0,161568,27460,38922,180671,290056,0,120028,37527,34866,203568,30974,55356,356824,54410,23872,11138
2010,12326,198770,38585,50923,219219,311381,0,196623,27382,35662,229263,38725,93148,327804,47321,27987,12497
2011,40144,204808,89413,64023,248067,235625,17974,225961,84590,35711,268981,42401,104405,308510,38904,29502,22835
2012,24616,210951,125476,96890,241263,331872,20848,230605,152399,33756,302934,47127,117553,404885,43094,21646,117023
2013,18685,200594,122480,93842,295280,366678,16847,203648,155893,43638,320723,42291,118049,408484,35846,15672,109652
2014,22560,188519,117363,51705,306860,388374,11802,216936,159020,53224,335644,52270,138790,428606,29991,9995,96649
2015,19504,194854,177889,1268,300170,355557,9104,213303,159414,57898,333398,60447,152294,429355,21351,6276,78207
2016,19833,227881,62185,3,265840,345225,726,199408,124203,45520,307380,65306,182898,388616,589,3237,73002
2017,11559,185857,18457,12,209623,322655,5,131803,107493,33402,254996,49837,188886,387081,14,1355,60722