date,Audi A3,Mini Clubman,Lexus CT,Acura ILX,Cadillac ELR,Mercedes-Benz CLA,BMW 2-series,BMW i3
2005-01,5389,0,0,0,0,0,0,0
2006-01,8040,0,0,0,0,0,0,0
2007-01,6353,0,0,0,0,0,0,0
2008-01,4759,0,0,0,0,0,0,0
2009-01,3874,0,0,0,0,0,0,0
2010-01,6558,8389,0,0,0,0,0,0
2011-01,6561,6844,14381,0,0,0,0,0
2012-01,7205,5769,17671,12251,0,0,0,0
2013-01,857,5155,15071,20430,6,14113,0,0
2014-01,22250,2613,17673,17854,1310,27365,7270,6092
2015-01,35984,487,14657,18531,1024,29643,13020,11024
2016-01,31538,12203,8903,14597,534,25792,15519,7625
2017-01,23610,7739,4690,11757,17,20669,11737,6276