date,Buick LaCrosse,Chevrolet Caprice,Chevrolet Impala,Chevrolet SS,Chrysler 300,Dodge Charger,Ford Taurus,Hyundai Azera,Kia Cadenza,Nissan Maxima,Toyota Avalon
1985,234508,245826,0,0,0,0,4056,0,0,99051,0
1986,240747,226132,0,0,0,0,263450,0,0,112755,0
1987,147797,177344,0,0,0,0,354971,0,0,93269,0
1988,131994,172993,0,0,0,0,374627,0,0,74451,0
1989,134682,148816,0,0,0,0,348061,0,0,109429,0
1990,112181,154067,0,0,0,0,313274,0,0,100067,0
1991,128904,114599,0,0,0,0,299659,0,0,99026,0
1992,114273,88972,0,0,0,0,409751,0,0,84593,0
1993,116034,82646,0,0,0,0,360448,0,0,87602,0
1994,0,0,0,0,0,0,397037,0,0,0,6603
1995,0,0,0,0,0,0,366266,0,0,128599,66445
1996,72433,46261,0,0,0,0,401049,0,0,0,73308
1997,91232,11583,0,0,0,0,357162,0,0,0,71309
1998,126220,67,0,0,0,0,371074,0,0,113843,77752
1999,157035,0,81247,0,0,0,368327,0,0,131182,68038
2000,143085,0,174358,0,0,0,382035,2004,0,129235,104078
2001,142157,0,208395,0,0,0,353560,17884,0,102535,83005
2002,163739,0,198918,0,0,0,332690,16666,0,98502,69029
2003,94279,50492,267882,0,24910,0,300496,17928,1425,86758,50911
2004,78259,88211,290259,0,112930,0,262254,16630,19894,76367,36460
2005,99173,42358,246481,0,144068,44804,304851,17645,18668,75425,95318
2006,71155,18,289868,0,143647,114201,259021,26833,9594,69763,88938
2007,47752,17,311128,0,120636,119289,68178,21948,5522,52574,72945
2008,36873,0,265840,0,62352,97367,52667,14461,3614,47072,42790
2009,27818,0,165565,0,38606,60651,45617,3808,3704,53351,26935
2010,61178,0,172078,0,37116,75397,68859,3051,281,60569,28390
2011,58474,880,171434,0,36285,70089,63526,1524,8,58737,28925
2012,57076,3734,169351,0,70747,82592,74375,8431,0,59349,29556
2013,48798,3899,156797,418,57724,98336,79960,11221,8626,53896,70990
2014,51468,3727,140280,2479,53382,94099,62629,7232,9267,50401,67183
2015,42035,1845,116825,2896,53109,94725,48816,5539,7343,40359,60063
2016,27582,1021,97006,3013,53058,97110,44098,4942,4738,62670,48079
2017,20161,693,75877,4055,51237,88351,41236,3060,7249,67627,32583