date,BMW 5-series,BMW 6-series,Mercedes-Benz E-Class,Lincoln Continental,Infiniti Q70,Lexus ES,Lexus GS,Audi A6,Acura RLX,Volvo 70/80 series,Volvo S90,Jaguar XF,Cadillac CTS,Mercedes-Benz CLS-class,Hyundai Genesis Sedan,Audi A7,Cadillac XTS,Tesla Model S,Maserati Ghibli,Genesis G80,Volvo V90,Volvo V90 Cross Country
1980,7992,1190,12883,,,,,,,,,,,,,,,,,,,
1981,8062,1138,10731,,,,,,,,,,,,,,,,,,,
1982,7045,,28085,,,,,,,,,,,,,,,,,,,
1983,14298,,34851,,,,,,,,,,,,,,,,,,,
1984,15758,,20053,,,,,,,,,,,,,,,,,,,
1985,20168,3825,23714,27679,,,,,,,,,,,,,,,,,,
1986,25016,2979,29163,20629,,,,,,,,,,,,,,,,,,
1987,16383,2531,29937,12909,,,,,,,,,,,,,,,,,,
1988,19175,2529,28076,47424,,,,,,,,,,,,,,,,,,
1989,20492,1837,28349,56441,651,4728,,,,,,,,,,,,,,,,
1990,17110,260,28333,62732,6578,20718,,,,,,,,,,,,,,,,
1991,23039,11,19306,52450,6329,22476,,,,,,,,,,,,,,,,
1992,20094,4,23216,38458,3632,39652,,,,,,,,,,,,,,,,
1993,21931,3,26070,31746,152,35655,19164,,,,,,,,,,,,,,,
1994,24126,,26895,40878,,39108,13939,,,,,,,,,,,,,,,
1995,22635,,24915,40708,,41766,6263,3672,,,,,,,,,,,,,,
1996,22775,,37956,32019,,44773,2044,10318,15948,,,,,,,,,,,,,
1997,31347,,42883,31220,,58430,7718,9946,16004,,,,,,,,,,,,,
1998,35100,,47563,35210,,48644,30622,18050,15024,6072,7830,,,,,,,,,,,
1999,38218,,50214,26246,,45860,31884,26131,13366,33549,32,15541,,,,,,,,,,
2000,39703,,49592,22648,,41320,26705,30487,14827,44501,5,24507,,,,,,,,,,
2001,40005,,44445,20392,,44847,24461,26364,10723,44730,,19548,,,,,,,,,,
2002,40842,,42598,15435,1010,71450,17246,24372,9392,35177,,15965,37976,,,,,,,,,
2003,46964,,55681,280,4755,65762,13306,17585,6829,31814,,14876,49392,,,,,,,,,
2004,45584,8198,58954,,2090,75916,8262,14905,8753,29449,,10975,57211,,,,,,,,,
2005,52722,9934,50383,,24000,67577,33457,18074,17572,24172,,8897,61512,14835,,,,,,,,
2006,56756,9322,50195,,25658,75987,27390,16216,11501,18601,,5875,54846,10763,,,,,,,,
2007,54142,9033,48950,,21884,82867,23381,12001,6262,24975,,3524,57029,7906,,,,,,,,
2008,45915,6533,38576,12982,15618,64135,15759,11956,4517,20527,,9482,58774,5775,6167,,,,,,,
2009,40109,3549,43072,17174,8501,48485,7430,6786,2043,14156,,8511,38817,2527,13604,,,,,,,
2010,39488,2418,60922,14417,14618,48652,7059,8675,2037,13850,,6925,45656,2135,16448,,,,,,,
2011,51491,3903,62736,12217,10818,40873,3746,11124,1096,10451,,5303,55042,5665,18850,6270,,,,,,
2012,56798,8208,65171,12524,9130,56158,22159,18998,379,8790,,5526,46979,8066,22687,8598,15049,2400,,,,
2013,56863,9762,69803,10793,5283,72581,19742,22428,5053,6817,,7922,32343,8032,19804,8483,32559,18650,,,,
2014,52704,8647,66400,8160,5034,72508,22198,23941,3413,6846,,5880,31115,6981,19133,8133,24335,18957,,,,
2015,44162,8146,49736,6877,8449,64969,23117,22850,2235,7005,,5933,19485,6152,24917,7721,23112,25202,7925,,,
2016,32408,3947,46522,10212,5872,58299,14878,18686,1478,6065,2756,6665,15911,4374,18100,6558,22171,29421,7100,6166,,
2017,40658,3355,49427,12165,5772,51398,7773,16304,1237,80,8641,4541,10344,1885,79,4810,16275,27060,5563,16214,183,2266