date,Land Rover Discovery Sport,Cadillac XT5,BMW X3,Acura RDX,Infiniti QX50,Audi Q5,Mercedes-Benz GLC-class,Volvo XC60,Audi A4 Allroad,BMW X4,Lexus NX,Lincoln MKC,Porsche Macan,Jaguar F-Pace,Alfa Romeo Stelvio,Range Rover Velar
2002,15021,,,,,,,,,,,,,,,
2003,9529,5049,,,,,,,,,,,,,,
2004,5430,30019,34604,,,,,,,,,,,,,
2005,2141,22999,30769,,,,,,,,,,,,,
2006,42,22043,31291,9164,,,,,,,,,,,,
2007,9206,22543,28058,23356,305,,,,,,,,,,,
2008,5618,16156,17622,15845,12873,,,,,,,,,,,
2009,4433,20237,6067,10153,7950,13790,21944,9262,,,,,,,,
2010,3649,51094,6075,14975,8312,23518,20946,12030,,,,,,,,
2011,2777,56905,27793,15196,6030,24908,24310,12932,,,,,,,,
2012,3113,57485,35173,29520,3495,28671,29364,19139,3115,,,,,,,
2013,3315,56776,30623,44750,2164,40355,32553,19766,5386,,,,,,,
2014,3619,53578,33824,44865,2727,42420,35000,19276,4686,2653,2927,13077,7241,,,
2015,7688,68850,31924,51026,5468,52006,27902,26133,2818,6429,43764,24590,13533,,,
2016,14246,61624,44196,52361,16973,49550,47872,20431,2300,4989,54884,25562,19332,10016,,
2017,14187,68468,40691,51295,16857,57640,48643,22516,3240,5198,59341,27048,21429,18946,2721,6153