date,Mercedes-Benz C-class,Acura TLX,Audi A4,Lexus IS,Volvo 60 series,Jaguar XE,Lincoln MKZ,Audi A5,Infiniti Q50,Infiniti Q60,Cadillac ATS,BMW 3-series,BMW 4-series,Lexus RC,Alfa Romeo Giulia,Tesla Model 3
1994-01,23799,,,,,,,,,,,,,,,
1995-01,27119,16539,,,,,,,,,,,,,,
1996-01,28715,24700,15288,,,,,,,,,,,,,
1997-01,33779,23151,20871,,,,,,,,,,,,,
1998-01,46109,31883,26635,,,,,,,,,,,,,
1999-01,46484,56566,32137,,,,,,,,,,,,,
2000-01,52396,67033,34460,15540,5988,,,,,,,,,,,
2001-01,70633,69484,35739,22846,71700,9765,,,,,,,,,,
2002-01,81276,60764,44319,20306,77092,33018,,,,,,,,,,
2003-01,85214,56770,51043,13559,70692,26772,,,,,,,,,,
2004-01,91807,77895,47168,9972,55670,21542,,,,,,,,,,
2005-01,78885,78218,48922,15789,49390,10941,4985,,,,,,,,,
2006-01,66602,71348,49862,54267,51506,5214,33114,,,,,,,,,
2007-01,78710,58545,45411,54933,37022,3198,34363,625,,,,,,,,
2008-01,83315,46766,43343,49432,17932,431,30117,6282,,,,,,,,
2009-01,59577,33620,37070,38077,11790,9,22081,9800,,,,,,,,
2010-01,59370,34049,34672,34129,2874,,22535,16379,41553,16490,,,,,,
2011-01,69320,31237,35234,29669,42564,,27529,15385,43759,14487,,,,,,
2012-01,81698,33572,35415,27708,46712,,28053,17270,46828,13016,7008,,,,,
2013-01,88251,24318,36744,35017,46420,,32361,18664,48072,9806,38319,,,,,
2014-01,75068,29743,33993,51358,50894,,34009,16620,52489,7740,29890,100790,41442,1922,,
2015-01,86080,47128,29013,46430,48252,,30901,12934,52479,3949,26873,94527,46082,14784,,
2016-01,77167,37156,34687,37289,41826,6656,30534,8354,44066,3970,21505,70458,35763,11165,36,
2017-01,77446,34846,34434,26482,33650,9278,27387,21301,40739,10751,13100,59449,39634,7363,8904,1770